"Страна","Общий индекс конкурентоспособности в сфере туризма","Индекс бизнес-среды","Индекс безопасности","Индекс здоровья и гигиены","Индекс ценовой конкурентноспособности","Качество автомобильных дорог"
"Австралия","5.10","5.05","6.10","6.14","3.82","4.8"
"Австрия","4.86","4.96","6.28","6.71","3.86","6.0"
"Азербайджан","3.70","4.57","5.85","6.09","5.38","4.4"
"Албания","3.35","4.07","5.71","5.22","4.70","4.4"
"Алжир","3.07","4.03","5.28","4.92","6.03","3.2"
"Ангола","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Андорра","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Антигуа и Барбуда","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Аргентина","4.05","3.14","4.96","6.38","4.06","3.1"
"Армения","3.53","4.87","5.86","5.91","4.79","3.8"
"Афганистан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Багамские Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Бангладеш","2.89","4.10","3.69","4.34","4.66","2.9"
"Барбадос","3.91","4.42","5.60","6.05","3.05","4.5"
"Бахрейн","3.89","5.50","5.70","5.17","5.53","5.1"
"Белиз","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Белоруссия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Бельгия","4.54","4.93","5.90","6.71","4.38","4.9"
"Бенин","2.84","4.29","5.24","2.90","4.91","2.9"
"Болгария","4.14","4.50","5.14","6.63","5.31","3.4"
"Боливия","3.34","3.00","5.01","4.43","4.34","3.1"
"Босния и Герцеговина","3.12","3.55","5.37","5.66","4.33","2.9"
"Ботсвана","3.52","5.07","5.34","3.51","5.74","4.1"
"Бразилия","4.49","3.49","4.50","5.32","5.25","3.0"
"Бруней","нет данных","нет данных","нет данных","нет данных","0.00","4.7"
"Буркина-Фасо","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Бурунди","2.57","3.86","4.23","3.80","4.72","2.9"
"Бутан","3.61","4.72","6.09","4.62","6.00","3.8"
"Вануату","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Ватикан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Великобритания","5.20","5.86","5.34","5.83","2.83","5.1"
"Венгрия","4.06","4.17","5.72","6.63","4.66","4.1"
"Венесуэла","3.28","2.43","3.28","5.10","5.47","2.8"
"Восточный Тимор","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Вьетнам","3.78","4.45","5.56","5.04","5.35","3.5"
"Габон","3.06","4.01","5.29","4.35","5.48","2.8"
